Date,Product,Category,Region,Units_Sold,Cost Price,Revenue,Selling Price,Profit,Profit_Margin
2024-10-16,Laptop,Electronics,North America,7,816.89,5718.23,3745.61,2928.72,51.22
2023-09-08,Tablet,Electronics,Europe,8,638.79,5110.32,3305.38,2666.59,52.18
2024-03-08,Laptop,Electronics,North America,4,228.58,914.32,727.13,498.55,54.53
2023-07-23,Router,Accessories,South America,2,263.64,527.28,345.38,81.74,15.5
2024-04-04,Printer,Accessories,Asia,12,650.49,7805.88,4700.08,4049.59,51.88
2023-06-13,Router,Accessories,South America,17,572.3,9729.1,7004.55,6432.25,66.11
2023-10-12,Tablet,Electronics,Europe,16,309.49,4951.84,3105.7,2796.21,56.47
2023-04-15,Laptop,Electronics,South America,19,444.22,8440.18,7553.7,7109.48,84.23
2024-01-03,Smartphone,Electronics,Asia,3,873.95,2621.85,2108.21,1234.26,47.08
2024-04-15,Printer,Accessories,North America,9,158.55,1426.95,1262.37,1103.82,77.36
2023-03-22,Printer,Accessories,Asia,14,827.56,11585.84,8010.27,7182.71,62.0
2024-01-06,Printer,Accessories,Europe,2,715.81,1431.62,1048.01,332.2,23.2
2023-02-16,Router,Accessories,Europe,7,649.0,4543.0,3861.36,3212.36,70.71
2023-10-12,Monitor,Accessories,Asia,8,779.83,6238.64,4538.9,3759.07,60.25
2024-01-15,Smartphone,Electronics,Europe,10,610.93,6109.3,3722.97,3112.04,50.94
2024-12-19,Router,Accessories,North America,18,797.62,14357.16,12660.86,11863.24,82.63
2024-04-18,Monitor,Accessories,Asia,8,613.4,4907.2,3711.07,3097.67,63.13
2023-08-13,Router,Accessories,Asia,8,860.08,6880.64,5671.0,4810.92,69.92
2023-08-23,Laptop,Electronics,Asia,15,845.86,12687.9,8970.68,8124.82,64.04
2023-10-02,Laptop,Electronics,Europe,13,226.83,2948.79,2478.93,2252.1,76.37
2023-11-19,Tablet,Electronics,South America,1,114.07,114.07,82.93,-31.14,-27.3
2024-10-20,Monitor,Accessories,Europe,1,278.84,278.84,167.77,-111.07,-39.83
2023-05-23,Tablet,Electronics,Asia,11,278.96,3068.56,2495.97,2217.01,72.25
2024-03-14,Printer,Accessories,South America,3,794.14,2382.42,1482.37,688.23,28.89
2023-08-13,Tablet,Electronics,South America,7,685.97,4801.79,4199.11,3513.14,73.16
2023-02-18,Laptop,Electronics,Europe,9,660.97,5948.73,4159.76,3498.79,58.82
2024-11-27,Monitor,Accessories,North America,16,433.74,6939.84,5556.4,5122.66,73.82
2024-01-26,Printer,Accessories,South America,5,756.65,3783.25,2993.56,2236.91,59.13
2024-11-29,Printer,Accessories,Asia,14,864.02,12096.28,9876.84,9012.82,74.51
2023-04-25,Smartphone,Electronics,South America,14,544.42,7621.88,5768.39,5223.97,68.54
2024-04-09,Laptop,Electronics,Asia,15,199.8,2997.0,2193.21,1993.41,66.51
2023-07-02,Printer,Accessories,North America,19,128.29,2437.51,1927.88,1799.59,73.83
2024-10-16,Printer,Accessories,Europe,4,916.81,3667.24,2474.61,1557.8,42.48
2024-01-18,Tablet,Electronics,North America,13,585.86,7616.18,5033.67,4447.81,58.4
2024-01-07,Smartphone,Electronics,Europe,2,661.92,1323.84,911.72,249.8,18.87
2024-05-12,Laptop,Electronics,Europe,11,391.91,4311.01,2744.5,2352.59,54.57
2024-11-06,Monitor,Accessories,Europe,7,916.15,6413.05,4371.39,3455.24,53.88
2024-06-24,Printer,Accessories,South America,13,874.66,11370.58,6846.06,5971.4,52.52
2024-07-06,Router,Accessories,Europe,8,580.68,4645.44,3462.94,2882.26,62.04
2024-02-13,Router,Accessories,Asia,1,207.88,207.88,145.78,-62.1,-29.87
2023-08-19,Laptop,Electronics,Asia,9,463.45,4171.05,2583.83,2120.38,50.84
2024-08-25,Printer,Accessories,Europe,12,326.6,3919.2,2936.16,2609.56,66.58
2023-03-14,Printer,Accessories,Europe,5,410.56,2052.8,1622.34,1211.78,59.03
2024-11-16,Monitor,Accessories,Europe,2,577.84,1155.68,848.66,270.82,23.43
2023-05-16,Router,Accessories,South America,6,317.85,1907.1,1528.81,1210.96,63.5
2024-04-29,Monitor,Accessories,Europe,11,432.69,4759.59,3201.53,2768.84,58.17
2023-04-10,Router,Accessories,South America,6,431.0,2586.0,2042.14,1611.14,62.3
2024-03-09,Monitor,Accessories,South America,6,458.94,2753.64,2326.63,1867.69,67.83
2024-11-20,Router,Accessories,North America,16,851.77,13628.32,9488.5,8636.73,63.37
2024-02-17,Router,Accessories,Asia,6,726.23,4357.38,3736.49,3010.26,69.08
2023-09-12,Tablet,Electronics,Europe,4,114.93,459.72,346.46,231.53,50.36
2023-10-13,Monitor,Accessories,Europe,9,721.84,6496.56,4651.67,3929.83,60.49
2024-03-29,Printer,Accessories,North America,18,853.94,15370.92,12338.35,11484.41,74.72
2023-08-31,Tablet,Electronics,South America,3,305.7,917.1,598.4,292.7,31.92
2024-05-07,Tablet,Electronics,South America,16,599.68,9594.88,7281.51,6681.83,69.64
2023-06-18,Monitor,Accessories,North America,2,996.63,1993.26,1773.26,776.63,38.96
2023-09-29,Monitor,Accessories,Asia,5,910.38,4551.9,3595.68,2685.3,58.99
2023-07-14,Smartphone,Electronics,Europe,16,907.4,14518.4,12574.76,11667.36,80.36
2024-08-16,Router,Accessories,North America,1,677.83,677.83,423.81,-254.02,-37.48
2023-02-28,Laptop,Electronics,South America,8,806.81,6454.48,5168.08,4361.27,67.57
2024-06-27,Tablet,Electronics,North America,3,435.05,1305.15,1151.19,716.14,54.87
2023-03-24,Tablet,Electronics,North America,18,244.73,4405.14,3368.26,3123.53,70.91
2023-03-11,Router,Accessories,Europe,3,686.77,2060.31,1374.81,688.04,33.39
2023-05-03,Printer,Accessories,Europe,1,116.27,116.27,86.99,-29.28,-25.18
2024-11-04,Printer,Accessories,Asia,7,748.85,5241.95,3629.62,2880.77,54.96
2023-07-29,Router,Accessories,Asia,16,184.31,2948.96,2094.69,1910.38,64.78
